Detail for each storm on Atlantic Hurricanes:

ID	TotalDistance 	 Max 	 Mean
AL041893	4151.03	27.98	15.04
AL051893	1753.44	22.75	19.48
AL061893	6104.16	31.79	14.05
AL071893	2670.21	25.44	11.71
AL081893	1242.9	16.38	9.41
AL091893	5278.8	40.15	10.91
AL101893	2080.69	18.52	10.7
AL111893	1461.11	23.43	19.23
AL121893	2466.48	24.56	13.26
AL011894	510.17	8.56	5.67
AL021894	490.87	8.77	4.55
AL031894	3708.53	39.73	14.37
AL041894	3339.9	18.86	10.74
AL051894	3197.14	31.98	12.09
AL061894	2079.03	17.53	8.88
AL071894	3508.9	32.79	14.26
AL011895	444.57	9.02	5.15
AL021895	2463.48	20.01	11.73
AL031895	2751.87	25.07	12.07
AL041895	1428.06	29.34	11.33
AL051895	4940.59	38.97	14.2
AL061895	978.66	18.64	11.25
AL011896	2777.42	25.63	14.27
AL021896	2673.51	13.35	8.97
AL031896	4234.57	24.97	16.8
AL041896	2730.5	38.69	14.17
AL051896	2876.48	39.63	12.67
AL061896	3354.06	16.15	9.64
AL071896	533.13	16.05	8.08
AL011897	3807.5	30.67	15.11
AL021897	1041.41	17.92	12.7
AL031897	2162.1	52.68	17.62
AL041897	560.95	9.02	4.92
AL051897	3460.93	32.8	11.33
AL061897	2119.66	18.4	10.42
AL011898	573.66	17.16	13.53
AL021898	494.65	11.34	8.2
AL031898	965.79	21.35	14.63
AL041898	4650.74	37.77	12.92
AL051898	2138.62	22.33	8.75
AL061898	1531.87	13.48	7.69
AL071898	3807.22	48.03	13.47
AL081898	723.81	15.53	10.05
AL091898	3091.82	23.87	10.31
AL101898	692.53	22.98	10.49
AL111898	1872.51	13.51	9.18
AL011899	240.38	10.61	8.22
AL021899	1336.2	19.23	10.51
AL031899	7511.88	45.58	9.54
AL041899	3183.05	24.63	12.63
AL051899	4116.64	31.75	13.45
AL061899	2901.42	44.47	19.69
AL071899	859.49	11.59	8.95
AL081899	887.98	15.74	11.38
AL091899	4112.32	41.4	17.59
AL101899	1186.37	23.33	13.18
AL011900	6906.72	38.27	14.55
AL021900	3659.58	32.16	12.45
AL031900	3268.21	16.59	8.93
AL041900	1069.64	13.14	9.22
