Detail for each storm on Atlantic Hurricanes:

ID	TotalDistance 	 Max 	 Mean
AL082001	3320.89	33.19	13.84
AL092001	198.21	16.68	16.47
AL102001	1829.08	28.27	12.19
AL112001	2006.81	21.7	16.68
AL122001	944.94	20.04	17.5
AL132001	1390.99	42.71	12.88
AL142001	1137.64	28.91	12.64
AL152001	1648.98	31.58	8.8
AL162001	681.79	20.32	10.33
AL172001	2287.93	18.64	8.29
AL012002	2285.78	34.99	20.05
AL022002	654.73	10.7	5.81
AL032002	409.68	20.48	5.69
AL042002	1809.92	20.77	12.07
AL052002	588.51	11.64	5.24
AL062002	600.23	15.95	5.24
AL072002	210.14	10.09	8.75
AL082002	2655.99	49.38	19.22
AL092002	640.75	14.03	8.12
AL102002	3483.55	50.06	10.98
AL112002	727.48	32.74	15.16
AL122002	3615.55	21.04	7.11
AL132002	3575.65	26.87	12.07
AL142002	396.19	13.19	7.77
AL012003	3009.9	30.98	13.2
AL022003	302.61	16.83	16.81
AL032003	1381.46	21.58	12.14
AL042003	3432.5	27.49	13.58
AL052003	2515.31	19.29	9.75
AL062003	820.17	22.46	19.53
AL072003	271.72	9.96	7.54
AL082003	932.04	23.41	16.53
AL092003	187.09	11.93	10.39
AL102003	4936.71	43.03	15.82
AL112003	734.77	26.41	10.93
AL122003	814.89	20.3	7.26
AL132003	3849.33	41.02	11.53
AL142003	407.53	12.91	7.55
AL152003	1353.17	39.17	12.26
AL162003	5557.33	49.58	16.25
AL172003	975.98	9.55	3.98
AL182003	690.65	13.09	8.85
AL192003	4232.32	20.12	8.93
AL202003	1983.52	32.79	15.41
AL212003	1042.96	21.91	12.42
AL012004	2473.62	47.09	17.18
AL022004	3581.17	31.79	14.5
AL032004	2868.26	29.92	20.06
AL042004	2563.31	16.37	9.49
AL052004	1033.79	24.71	21.54
AL062004	4599.7	28.73	11.28
AL072004	2696.51	43.17	16.9
AL082004	1028.54	22.99	11.43
AL092004	6683.18	23.07	12.8
AL102004	667.34	17.1	9.27
AL112004	3180.08	28.3	8.5
AL122004	5093.38	50.72	18.06
AL132004	3303.37	25.97	10.2
AL142004	707.27	17.68	10.92
AL152004	643.34	27.04	15.32
AL162004	1451.83	12.35	6.37
AL012005	1947.05	27.45	14.32
AL022005	226.18	9.58	7.2
AL032005	2597.51	22.38	14.22
AL042005	3280.34	21.12	10.51
AL052005	3538.76	18.79	14.09
AL062005	2281.17	24.09	10.28
AL072005	527.33	15.05	10.99
AL082005	2502.89	19.16	9.27
AL092005	3774.85	39.31	11.44
AL102005	1044.89	12.12	8.71
AL112005	184.07	11.32	7.87
AL122005	1828.37	23.9	10.38
AL132005	1808.82	21.65	12.06
AL142005	4078.48	45.56	13.6
AL152005	2427.07	29.73	14.45
AL162005	4675.05	29.2	11.54
AL172005	1423.37	25.21	8.79
AL182005	2144.15	29.95	10.74
AL192005	337.96	13.15	7.04
AL202005	735.8	12.8	8.29
AL212005	758.75	26.09	21.08
AL222005	519.47	16.17	12.32
AL232005	1549.77	18.74	9.93
AL242005	785.32	21.68	10.84
AL252005	3014.88	50.53	11.35
AL262005	907.85	31.39	17.4
AL272005	431.24	7.82	4.23
AL282005	1674.54	22.31	8.72
AL292005	3513.88	53.81	14.28
AL302005	2160.59	11.85	8.57
AL312005	1329.61	20.19	6.33
AL012006	4475.83	43.28	20.56
AL022006	1252.79	24.63	17.4
AL032006	1313.04	34.05	14.77
AL042006	1411.98	14.95	10.7
AL052006	2088.37	17.56	13.92
AL062006	2754.23	18.24	10.86
AL072006	5406.54	27.7	14.77
AL082006	5251.02	48.01	15.63
AL092006	5299.98	33.1	14.48
AL102006	1783.54	35.0	12.92
AL012007	1373.3	21.72	7.63
AL022007	2052.13	33.85	15.94
AL032007	2900.77	57.31	21.98
AL042007	4111.64	21.63	17.47
AL052007	1177.66	13.49	10.29
AL062007	2228.78	19.98	15.01
AL072007	870.19	16.55	11.02
AL082007	1147.4	10.76	7.65
AL092007	434.92	11.11	8.1
AL102007	158.43	9.14	8.8
AL112007	351.53	19.32	8.37
AL122007	1202.1	16.16	11.13
AL132007	363.43	8.45	5.12
AL142007	1752.03	14.68	9.73
AL152007	1940.67	30.76	12.94
AL162007	4183.89	41.23	13.62
AL172007	1879.84	22.24	13.57
AL012008	226.87	6.05	4.68
AL022008	5376.2	40.54	12.4
AL032008	1304.24	30.43	12.79
AL042008	1638.92	25.46	10.33
AL052008	677.15	13.73	8.68
AL062008	2352.12	22.94	8.07
AL072008	2866.69	26.28	10.46
AL082008	3600.31	36.05	13.15
AL092008	5076.04	52.1	14.83
AL102008	1913.39	21.57	9.97
AL112008	1811.58	24.78	13.72
AL122008	2583.14	31.23	13.05
AL132008	312.07	9.95	7.43
AL142008	793.08	17.15	10.17
AL152008	2171.95	30.61	11.68
AL162008	182.9	16.63	6.6
AL172008	1490.17	21.11	7.12
AL012009	1108.6	18.66	13.2
AL022009	1800.21	21.36	12.0
AL032009	5423.54	46.28	21.44
AL042009	433.69	15.84	12.51
AL052009	566.94	12.22	9.09
AL062009	537.81	34.62	11.08
AL072009	3003.22	19.17	10.65
AL082009	425.29	12.2	11.81
AL092009	2912.12	26.87	13.48
AL102009	1359.92	16.16	10.3
AL112009	1439.28	20.28	8.57
AL012010	1349.66	14.13	8.02
AL022010	762.82	20.12	11.61
AL032010	1077.73	23.42	13.86
AL042010	2065.93	29.81	14.93
AL052010	1240.83	15.34	6.67
AL062010	4994.28	42.83	16.65
AL072010	5387.34	36.63	17.87
AL082010	2303.75	24.44	16.7
AL092010	2111.94	18.46	12.14
AL102010	1336.29	17.52	10.73
AL112010	4738.09	40.84	13.83
AL122010	3462.19	23.14	11.54
AL132010	1126.43	15.21	10.48
AL142010	1184.1	10.35	5.53
AL152010	1109.3	19.61	14.65
AL162010	600.13	23.14	10.65
AL172010	3548.51	41.65	12.86
AL182010	943.98	13.89	8.34
AL192010	1040.7	11.49	6.6
AL202010	1128.2	37.79	23.5
AL212010	3674.93	30.23	12.19
AL012011	373.67	8.39	5.69
AL022011	1553.65	24.73	9.25
AL032011	1768.66	32.42	24.56
AL042011	776.41	13.89	10.97
AL052011	1637.8	17.08	11.87
AL062011	1512.83	25.33	18.01
AL072011	1686.87	32.25	15.62
AL082011	908.91	14.39	10.32
AL092011	3094.79	32.14	14.77
AL102011	376.46	11.47	7.84
AL112011	928.57	23.4	12.9
AL122011	6746.78	52.93	17.85
AL202011	469.9	13.13	6.03
AL132011	740.83	18.83	6.38
AL142011	3782.56	48.81	16.47
AL152011	463.12	9.87	3.82
AL162011	4429.22	37.95	13.28
AL172011	4153.52	36.57	10.82
AL182011	882.1	10.67	5.17
AL192011	1536.65	31.76	9.49
AL012012	1035.63	19.0	9.08
AL022012	2248.03	34.08	12.29
AL032012	2788.2	21.6	15.49
AL042012	520.57	10.52	5.63
AL052012	2999.25	22.26	13.95
AL062012	1777.22	21.41	14.81
AL072012	3445.82	24.39	15.52
AL082012	2292.36	20.96	15.89
AL092012	3511.41	19.39	12.27
AL102012	899.19	16.25	13.62
AL112012	2182.69	43.24	17.32
AL122012	4271.82	44.0	12.76
AL132012	1948.37	30.45	7.92
AL142012	5175.67	20.79	9.08
AL152012	846.98	16.77	11.76
AL162012	88.6	2.07	1.48
AL172012	5521.44	39.17	16.73
AL182012	2326.5	22.39	10.44
AL192012	1590.7	21.9	13.95
AL012013	1514.68	34.76	20.41
AL022013	1054.3	11.39	8.63
AL032013	1808.24	27.64	25.11
AL042013	4035.47	21.24	13.45
AL052013	1234.08	14.81	10.82
AL062013	253.53	16.62	9.45
AL072013	1570.43	19.37	7.48
AL082013	106.32	6.85	5.91
AL092013	2357.38	13.91	8.73
AL102013	679.15	9.07	5.75
AL112013	1680.84	14.89	8.75
AL122013	486.19	15.08	7.29
AL132013	753.06	9.73	6.28
AL142013	2443.57	30.51	16.29
AL152013	563.54	12.18	6.26
AL012014	2793.79	27.61	10.91
AL022014	1562.54	27.4	16.28
AL032014	5715.63	47.86	21.04
AL042014	3941.87	46.94	17.29
AL052014	619.67	13.09	9.72
AL062014	3572.58	25.49	12.94
AL072014	1020.76	24.36	14.39
AL082014	3475.29	46.43	16.62
AL092014	1453.78	9.74	6.88
AL012015	1305.83	35.31	8.2
AL022015	1326.8	19.21	10.61
AL032015	1157.43	20.71	13.78
AL042015	1935.3	14.51	10.75
AL052015	1379.69	17.5	15.33
AL062015	1740.77	14.73	9.67
AL072015	1371.54	16.58	14.29
AL082015	370.16	14.36	5.14
AL092015	726.72	8.49	6.73
AL102015	2347.15	14.56	7.82
AL112015	4493.27	32.07	10.14
AL122015	2274.02	42.72	19.95
AL012016	4786.53	42.59	20.29
AL022016	3365.54	29.51	10.47
AL032016	2049.02	43.79	26.0
AL042016	447.51	11.61	7.74
AL052016	1181.72	16.35	11.56
AL062016	2154.53	16.74	11.97
AL072016	4058.02	21.1	13.01
AL082016	820.63	15.09	6.84
AL092016	2214.0	26.1	8.84
AL102016	2541.24	53.23	21.18
AL112016	1109.25	10.9	5.78
AL122016	4588.83	54.75	14.43
AL132016	1536.9	14.72	8.83
AL142016	2606.86	14.73	9.49
AL152016	3508.73	40.05	9.73
AL162016	1215.85	16.1	6.15
AL012017	2034.4	27.43	13.04
AL022017	799.0	26.25	19.74
AL032017	1504.08	47.96	14.34
AL042017	835.43	19.2	17.41
AL052017	559.63	16.73	15.54
AL062017	495.01	12.71	9.05
AL072017	1036.27	15.9	11.49
AL082017	2690.11	34.96	16.61
AL092017	4351.0	22.04	10.66
AL112017	4155.83	22.91	12.14
AL122017	4214.34	16.91	8.36
AL132017	362.93	8.21	3.96
AL142017	4184.02	47.76	11.25
AL152017	4892.96	35.36	12.65
AL162017	3206.95	35.03	17.64
AL172017	3382.27	45.45	12.86
AL182017	377.15	18.63	13.52
AL192017	1307.81	20.3	10.9

Percentage of evidence that support the hypothesis:

Degree	Percentage
70	69.77%
71	70.45%
72	70.95%
73	71.31%
74	71.63%
75	72.10%
76	72.56%
77	72.98%
78	73.32%
79	74.00%
80	74.52%
81	74.88%
82	74.99%
83	75.43%
84	75.86%
85	76.40%
86	76.57%
87	76.81%
88	76.81%
89	76.83%
90	79.26%
91	76.87%
92	76.81%
93	76.81%
94	76.76%
95	76.83%
96	76.89%
97	76.72%
98	76.47%
99	76.28%
100	76.07%
101	76.00%
102	75.86%
103	75.69%
104	75.54%
105	75.39%
106	75.05%
107	74.82%
108	74.67%
109	74.44%
110	74.27%
Detail for each storm on Pacific Hurricanes:

ID	TotalDistance 	 Max 	 Mean
EP011949	221.3	9.46	6.15
EP021949	1041.28	8.7	7.23
EP031949	940.35	15.3	6.53
EP041949	353.64	12.47	7.37
EP051949	488.87	15.01	10.19
EP061949	422.39	20.71	11.73
EP011950	735.85	13.98	6.13
EP021950	540.12	8.95	7.5
EP031950	610.32	10.64	8.48
CP011950	2183.06	15.13	9.58
EP041950	140.36	10.3	5.85
EP051950	674.03	9.65	7.02
EP061950	260.02	7.55	5.42
EP011951	489.85	8.02	5.83
EP021951	375.76	18.78	15.65
EP031951	175.45	7.73	7.31
EP041951	213.4	9.96	8.89
EP051951	2097.54	19.24	12.49
EP061951	1483.09	25.16	12.36
EP071951	505.86	7.97	5.27
EP081951	1187.62	13.79	9.9
EP091951	705.98	13.26	9.81
EP011952	385.91	9.0	8.04
EP021952	610.72	8.88	6.36
EP031952	411.34	10.98	8.57
EP041952	616.23	15.43	8.56
EP051952	1222.07	14.53	7.27
EP061952	261.88	7.62	5.46
EP071952	392.03	10.56	8.17
EP011953	383.78	9.25	8.0
EP021953	242.6	15.28	10.11
EP031953	346.06	7.64	4.81
EP041953	957.36	10.37	6.65
EP011954	607.61	10.09	5.63
EP021954	1098.39	12.61	7.63
EP031954	1481.85	16.98	11.23
EP041954	1188.52	11.54	6.6
EP051954	1904.51	19.37	11.34
EP061954	837.79	18.39	9.97
EP071954	1098.61	11.97	7.63
EP081954	1260.09	13.35	8.08
EP091954	681.13	13.43	7.1
EP101954	326.55	11.88	6.05
EP111954	1622.41	18.61	11.27
EP011955	287.4	6.47	4.79
EP021955	435.45	7.7	6.05
EP031955	600.38	12.96	10.01
EP041955	506.89	8.82	5.28
EP051955	556.31	11.57	7.73
EP061955	263.58	13.5	10.98
EP011956	522.22	24.68	21.76
EP021956	723.2	11.83	6.7
EP031956	380.8	15.06	10.58
EP041956	393.5	12.61	10.93
EP051956	892.03	14.3	12.39
EP061956	343.7	10.52	7.16
EP071956	1144.78	22.24	15.9
EP081956	293.49	17.55	16.31
EP091956	466.25	9.82	7.77
EP101956	1197.87	14.32	11.09
EP111956	312.84	9.78	8.69
EP011957	2725.01	20.87	10.32
EP021957	2847.36	22.39	11.86
EP031957	1220.77	13.03	7.83
CP011957	3029.41	16.51	10.74
EP041957	427.16	10.84	7.91
EP051957	289.87	11.1	6.9
EP061957	306.2	6.05	5.1
CP021957	794.96	19.55	11.04
EP071957	151.58	13.74	8.42
EP081957	1398.28	31.15	11.65
EP091957	530.69	18.85	8.85
EP101957	736.35	20.02	15.34
CP031957	1421.91	12.48	7.9
EP011958	1253.55	10.31	5.22
EP021958	385.03	9.72	8.02
EP031958	615.52	13.33	10.26
EP041958	685.38	11.36	7.14
EP051958	1125.13	17.71	13.39
EP061958	290.12	14.19	12.09
CP011958	343.78	10.39	7.16
EP071958	368.1	11.52	10.22
EP081958	946.49	8.77	6.07
EP091958	525.1	35.82	14.59
EP101958	1596.06	22.51	10.23
EP111958	691.9	13.6	11.53
EP121958	255.12	14.13	8.5
EP011959	632.3	29.56	10.54
EP021959	462.18	14.08	9.63
EP031959	1430.88	21.54	9.94
EP041959	780.09	13.5	9.29
EP051959	114.2	5.27	4.76
CP011959	1464.85	12.96	9.39
EP061959	443.29	16.54	12.31
EP071959	356.77	10.94	8.49
EP081959	365.42	8.63	7.61
EP091959	1804.92	23.01	10.03
CP021959	1007.21	16.78	9.87
EP101959	767.6	11.88	7.11
CP031959	402.68	12.85	11.19
EP111959	273.61	6.94	5.7
EP121959	930.87	10.53	6.74
EP011960	857.4	12.64	10.21
EP021960	638.74	9.3	6.65
EP031960	817.76	19.01	12.39
EP041960	1150.15	17.22	13.69
EP051960	2262.16	16.24	8.2
EP061960	1130.66	14.63	8.57
EP071960	346.6	12.85	7.22
EP011961	576.25	15.3	9.6
EP021961	263.7	7.68	5.49
EP031961	198.62	6.8	5.52
EP041961	1500.73	17.91	13.9
EP051961	241.04	10.01	6.69
EP061961	638.98	6.62	5.92
EP071961	264.9	11.59	11.04
EP081961	372.1	15.78	15.5
EP091961	465.22	13.65	8.61
EP101961	430.62	13.81	7.18
EP011962	557.4	16.59	11.61
EP021962	637.41	12.61	10.62
EP031962	614.45	9.15	7.31
EP041962	196.09	6.02	5.45
EP051962	892.89	20.04	9.3
EP061962	601.18	10.38	5.57
EP071962	904.45	12.42	8.37
EP081962	561.44	6.71	5.2
EP091962	1024.52	21.83	10.67
EP011963	239.63	9.19	6.66
EP021963	992.3	22.0	13.78
EP031963	468.12	9.92	9.75
CP011963	2541.88	30.25	16.29
EP041963	2546.92	21.72	11.17
EP051963	3286.55	31.37	15.22
EP061963	639.53	12.28	5.92
EP071963	672.79	33.47	18.69
EP011964	711.95	20.9	14.83
EP021964	1163.25	13.38	10.77
EP031964	1148.19	13.64	10.63
EP041964	285.14	9.84	7.92
EP051964	358.87	8.18	7.48
EP011965	868.98	16.79	10.34
EP021965	273.58	9.17	7.6
EP031965	1263.63	10.84	8.78
EP041965	1766.33	19.21	9.81
EP051965	1252.55	17.97	13.05
EP061965	2331.56	15.03	9.72
EP071965	1139.98	10.87	6.33
EP081965	1451.32	13.78	8.06
EP091965	1531.92	13.06	7.09
EP101965	431.42	8.81	5.99
EP011966	385.97	6.81	3.57
EP021966	2884.96	19.82	13.36
EP031966	1981.26	15.45	8.69
EP041966	2194.52	18.32	9.88
EP051966	1309.42	11.52	9.09
EP061966	2132.46	15.3	8.46
EP071966	778.48	17.64	9.27
EP081966	1569.47	12.45	8.17
EP091966	507.96	9.27	8.47
EP101966	711.26	9.77	5.39
EP111966	849.82	21.54	10.12
EP121966	187.61	6.05	5.21
EP131966	813.34	15.06	11.29
EP011967	473.04	9.74	6.57
EP021967	106.27	7.66	5.9
EP031967	836.36	16.02	9.96
EP041967	4162.01	23.18	14.45
EP051967	2451.92	21.44	11.35
EP061967	1269.4	20.66	15.11
EP071967	1075.97	13.91	8.97
EP081967	1515.51	25.08	10.52
EP091967	1018.22	32.99	10.61
EP101967	1225.8	22.44	12.77
EP111967	1715.38	15.46	11.0
CP011967	4280.77	22.15	13.72
EP121967	637.87	8.26	3.67
EP131967	1288.59	15.04	6.71
EP141967	1215.66	13.74	5.63
EP151967	1556.68	15.29	9.98
EP161967	2394.54	14.98	7.39
EP011968	336.84	13.21	9.36
EP021968	1160.15	14.97	8.79
EP031968	1529.62	13.53	9.81
EP041968	1678.71	19.07	12.72
EP051968	2315.64	23.76	12.06
EP061968	2473.09	16.15	10.31
EP071968	1212.76	19.23	14.44
EP081968	894.01	12.98	8.28
EP091968	1702.64	17.09	14.19
EP101968	1844.69	23.52	10.98
EP111968	2608.06	14.54	10.87
EP121968	1733.06	15.9	8.02
EP131968	345.64	12.41	9.6
EP141968	1309.28	37.48	12.12
EP151968	1790.2	11.84	8.78
EP161968	1418.19	17.98	7.88
EP171968	1056.07	12.4	8.8
EP181968	96.33	6.32	5.35
EP191968	2015.12	14.66	10.5
EP011969	1564.26	22.88	9.66
EP021969	1863.92	15.15	9.71
EP031969	511.91	16.55	14.22
EP041969	908.19	9.86	6.88
EP051969	490.37	15.7	13.62
EP061969	750.55	15.6	5.69
EP071969	1127.4	15.63	11.74
EP081969	897.26	9.83	5.75
EP091969	323.27	6.82	3.85
EP101969	832.07	13.57	9.91
EP011970	1949.07	22.72	10.83
EP021970	196.05	4.93	3.27
EP031970	500.28	6.98	5.21
EP041970	732.1	16.03	8.72
EP051970	2178.48	17.19	10.68
EP061970	860.85	14.09	5.12
EP071970	581.84	9.8	6.93
EP081970	954.6	12.7	9.94
EP091970	184.45	12.1	7.69
EP101970	957.0	9.92	6.65
EP111970	902.64	15.07	10.74
EP121970	2782.19	13.94	10.08
EP131970	1699.87	14.94	10.9
EP141970	1025.42	10.98	7.12
CP011970	1167.28	29.52	14.97
EP151970	303.66	8.02	6.32
EP161970	2076.46	16.01	11.54
EP171970	512.99	12.58	8.55
EP181970	955.74	10.01	5.69
EP011971	809.76	13.98	8.43
EP021971	1395.84	21.65	10.58
EP031971	1736.63	15.26	11.13
EP041971	3447.18	18.78	12.49
EP051971	1433.62	19.62	13.27
EP061971	1452.31	16.33	11.0
EP071971	1655.34	17.89	9.85
EP081971	2135.52	13.82	7.42
EP091971	1886.41	20.6	8.98
EP101971	990.96	11.75	8.26
EP111971	1103.23	13.1	10.21
EP121971	876.83	12.17	8.12
EP131971	961.29	12.13	5.72
EP141971	1500.18	13.33	9.62
EP151971	2263.59	14.36	8.57
EP161971	1396.49	12.31	8.95
EP171971	755.68	13.36	9.0
EP181971	673.65	10.91	8.02
EP011972	664.77	11.16	3.7
EP021972	658.03	13.97	8.44
EP031972	3452.41	17.88	8.99
EP041972	2448.12	18.09	11.33
EP051972	1707.03	17.59	9.48
EP061972	3200.63	19.61	11.11
EP071972	1842.87	14.62	8.53
EP081972	2878.24	23.36	11.99
EP091972	1603.83	17.56	8.35
CP011972	915.5	13.5	9.54
EP101972	1604.79	15.48	9.55
EP111972	350.67	18.52	9.74
CP021972	2124.05	19.5	9.83
EP121972	327.71	8.91	6.83
EP011973	2282.53	19.1	9.06
EP021973	410.44	15.47	11.4
EP031973	557.46	11.07	5.81
EP041973	4112.1	23.71	10.71
EP051973	1641.35	16.18	9.77
EP061973	1227.89	14.45	9.3
EP071973	1574.55	13.92	10.94
EP081973	182.15	6.17	5.06
EP091973	1157.52	13.84	9.65
EP101973	970.55	16.38	8.99
EP111973	2427.46	18.4	10.65
EP121973	1023.59	13.15	9.48
EP011974	473.79	11.95	9.87
EP021974	662.88	11.52	7.89
EP031974	1640.48	9.43	4.56
EP041974	438.06	12.73	7.3
EP051974	400.44	11.0	6.67
EP061974	1405.82	15.1	10.65
EP071974	1211.87	21.01	12.62
EP081974	891.1	22.27	10.61
EP091974	1947.73	16.71	7.92
CP011974	1145.26	13.62	11.23
EP101974	1203.24	27.42	9.12
EP111974	997.19	16.85	6.39
EP121974	903.45	16.33	7.53
EP131974	1062.29	9.92	6.81
EP141974	240.29	13.98	10.01
EP151974	1067.22	21.38	12.7
EP161974	2602.33	20.66	10.33
EP171974	443.33	9.82	6.16
EP011975	642.01	13.74	7.64
EP021975	824.74	10.44	6.25
EP031975	1741.46	12.25	8.54
EP041975	1847.43	18.73	7.7
EP051975	399.86	13.91	8.33
EP061975	544.49	17.26	9.08
EP071975	744.3	12.15	8.86
EP081975	1101.35	15.18	10.2
EP091975	2000.0	18.18	9.8
EP101975	1737.4	14.93	9.65
EP111975	1849.46	14.0	8.56
CP011975	2285.44	49.09	19.05
EP121975	1359.74	14.91	10.3
EP131975	638.39	11.81	7.6
EP141975	1090.26	13.28	8.26
EP151975	823.9	15.2	9.81
EP161975	1127.49	15.98	8.54
EP011976	1487.29	12.5	5.51
EP021976	915.57	17.67	10.17
EP031976	1868.18	34.41	15.57
EP041976	2621.39	21.91	15.07
EP051976	497.3	20.5	10.36
EP061976	1218.8	14.66	10.16
EP071976	3738.11	30.08	11.75
EP081976	2402.88	30.57	13.35
EP091976	2047.17	16.11	9.48
EP101976	2339.17	16.44	9.75
EP111976	1538.08	30.97	16.02
CP011976	1182.25	10.35	4.81
EP121976	1050.95	14.01	7.01
EP131976	1044.3	11.15	4.46
EP141976	941.62	16.38	7.85
EP011977	523.65	10.95	4.85
EP021977	949.74	19.31	13.19
EP031977	1120.7	14.74	10.38
EP041977	1153.68	17.75	9.61
EP051977	416.44	15.32	11.57
EP061977	1018.5	20.34	10.61
EP071977	1217.36	19.43	14.49
EP081977	997.43	15.9	11.87
EP011978	292.02	8.3	6.95
EP021978	857.89	13.61	11.0
EP031978	1869.03	17.16	9.16
EP041978	2234.56	21.17	13.3
EP051978	959.72	12.53	10.0
EP061978	4708.35	16.48	9.93
EP071978	1895.46	16.03	11.28
EP081978	1850.95	19.53	9.95
EP091978	745.21	10.83	7.76
EP101978	2846.46	19.39	9.68
EP111978	2468.52	21.45	11.12
EP121978	1373.09	18.46	11.44
EP131978	3278.7	20.02	14.77
EP141978	2113.75	18.68	12.15
EP151978	410.05	12.11	5.69
EP161978	1026.15	12.99	10.69
EP171978	825.68	14.56	6.88
CP011978	943.09	14.33	6.55
EP181978	760.26	16.54	11.52
EP011979	737.88	11.06	7.69
EP021979	1345.3	21.09	13.19
EP031979	555.4	25.66	15.43
EP041979	1803.22	18.79	11.56
EP051979	1466.37	11.46	8.73
EP061979	1277.29	19.33	13.3
EP071979	667.01	14.74	5.85
EP081979	834.04	13.97	12.64
EP091979	1273.47	14.3	7.58
EP101979	728.82	11.58	10.12
EP011980	1661.78	13.42	10.26
EP021980	475.55	8.7	6.6
EP031980	1206.55	12.92	11.17
EP041980	1088.7	18.68	16.5
EP051980	298.85	13.46	12.45
EP061980	620.43	7.13	6.08
EP071980	999.82	22.48	11.9
EP081980	1421.37	12.02	8.17
EP091980	984.2	11.77	7.13
EP101980	1518.47	12.24	10.12
EP111980	3330.96	18.66	9.74
EP121980	479.24	10.75	6.14
EP131980	263.27	10.18	8.77
EP141980	273.47	10.97	9.12
EP011981	577.3	7.24	5.35
EP021981	1403.9	11.22	9.75
EP031981	741.11	9.61	7.27
EP041981	1378.34	13.74	9.57
EP051981	1157.41	14.43	9.64
EP061981	2174.39	16.9	13.94
EP071981	2142.21	17.19	9.4
EP081981	1352.83	15.47	8.05
EP091981	759.85	18.35	9.04
EP101981	2138.92	25.69	13.71
EP111981	855.95	15.04	12.97
EP121981	401.51	12.96	11.15
EP131981	293.04	5.53	4.07
EP141981	686.43	12.82	7.63
EP151981	991.92	15.06	6.89
EP011982	729.87	4.9	3.2
EP021982	324.81	7.86	6.77
EP031982	844.95	19.35	7.82
EP041982	3939.87	19.23	10.42
EP051982	920.43	14.92	11.8
EP061982	1743.08	13.65	9.37
EP071982	2539.11	21.05	15.67
EP081982	1548.28	15.91	12.29
EP091982	1549.52	11.65	8.91
EP101982	2241.43	18.56	10.99
EP111982	2457.77	22.16	12.41
EP121982	1825.89	16.07	12.17
EP131982	2988.02	37.03	16.07
CP011982	680.54	16.56	8.72
EP141982	1439.96	12.47	6.86
CP021982	355.94	11.05	4.56
CP031982	323.09	11.24	4.14
EP151982	1875.75	19.24	11.17
EP161982	1975.91	18.15	7.16
EP171982	706.51	7.0	4.91
EP181982	2536.69	15.39	10.84
EP191982	1810.1	17.47	11.6
CP041982	1491.79	33.08	11.3
EP011983	1551.63	12.29	8.62
EP021983	1678.2	12.39	7.56
EP031983	756.94	16.19	9.01
EP041983	1648.07	15.81	10.99
EP051983	1210.38	16.88	11.21
EP061983	916.14	11.26	8.48
EP071983	4293.28	21.3	14.31
EP081983	2923.21	14.71	11.88
EP091983	1237.47	13.75	8.97
EP101983	1343.74	12.06	7.46
EP111983	1362.67	10.38	6.49
EP121983	1591.17	12.0	8.04
EP131983	1776.63	13.62	8.97
EP141983	2879.44	19.22	12.0
EP151983	933.99	14.23	8.19
EP161983	1327.57	13.46	8.85
EP171983	3355.08	25.49	11.18
EP181983	1339.98	15.03	11.17
EP191983	1409.82	18.3	7.12
EP201983	248.62	8.93	6.91
EP211983	278.02	13.93	3.86
EP011984	1276.84	15.94	13.3
EP021984	1877.07	8.86	3.86
EP031984	1286.91	9.8	6.13
EP041984	2555.58	12.54	9.06
EP051984	1921.96	22.3	7.45
EP061984	996.73	14.74	6.39
EP071984	1298.63	13.3	7.46
EP081984	850.0	9.78	7.87
EP091984	1847.62	13.51	8.8
EP101984	679.29	9.59	5.15
CP011984	1476.57	17.24	11.72
EP111984	793.67	13.84	6.61
EP121984	2103.2	19.34	8.76
EP131984	1097.36	15.57	11.43
CP021984	199.3	11.8	11.07
EP141984	1260.21	12.85	9.55
EP151984	1873.02	13.45	6.79
EP161984	702.17	13.43	5.57
EP171984	1551.65	14.58	8.62
EP181984	1383.27	10.84	6.59
EP191984	2103.82	16.78	10.96
EP011985	1680.08	17.35	10.77
EP021985	1875.04	10.6	7.81
EP031985	310.5	12.58	4.31
EP041985	2353.92	15.1	10.32
EP051985	2078.21	14.89	10.19
EP061985	843.46	13.51	8.27
EP071985	1574.36	20.06	15.44
EP081985	530.86	10.64	8.85
EP091985	1436.06	16.62	9.97
EP101985	1858.04	14.8	8.6
EP111985	1870.97	12.16	8.91
EP121985	2163.62	16.34	8.8
EP131985	1507.26	12.23	8.97
EP141985	1051.4	13.86	11.68
EP151985	2035.83	18.83	9.17
EP161985	3089.59	16.21	9.9
EP171985	2717.65	14.73	10.3
EP181985	2580.11	15.21	9.56
EP191985	1746.35	17.11	8.09
EP201985	233.35	6.32	2.78
EP211985	693.81	17.77	11.56
CP011985	1517.82	17.98	9.73
EP221985	1520.38	11.82	5.76
EP011986	1107.33	9.42	6.15
EP021986	433.61	14.0	12.04
EP031986	1395.32	15.55	9.69
EP041986	893.75	12.7	9.31
EP051986	3026.82	20.39	12.93
EP061986	2981.43	19.7	13.43
EP071986	933.75	35.7	22.23
EP081986	713.75	16.72	14.87
EP091986	1298.55	14.59	12.73
EP101986	2604.86	16.22	10.1
EP111986	1057.46	14.25	7.66
EP121986	711.23	11.39	9.12
EP131986	1894.91	17.9	11.7
EP141986	1375.9	14.5	10.42
EP151986	549.57	6.79	5.72
EP161986	1561.77	23.98	13.7
EP171986	1837.86	15.87	11.35
EP011987	383.35	11.94	9.13
EP021987	932.81	16.88	11.11
